customer_id,borrower_age,employment_type,employment_tenure_years,residence_years,marital_status,dependents_count,monthly_gross_income,net_disposable_income,income_variability_flag,existing_emi_obligation,debt_to_income_ratio,avg_savings_balance,loan_amount,loan_tenure_months,interest_rate,emi_amount,loan_type,loan_vintage_months,current_dpd,past_delinquency_count,max_dpd_12m,on_time_payment_ratio,missed_payment_count,partial_payment_flag,auto_debit_bounce_count,days_since_last_payment,rolling_dpd_trend,payment_volatility_score,emi_stress_ratio,delinquency_acceleration,payment_regularity_score,bounce_frequency_ratio,recovery_lag_days,outstanding_balance_ratio,utilization_shock_flag,repayment_fatigue_index,exposure_concentration_score,behavioral_risk_score
QG90109947,25,Self_Employed,9.1,5.9,Single,2,150512.44,96063.41,1,52840.99,0.351,106306.55,369806.1,36,18.86,13529.46,Personal_Loan,66,30,1,60,1,1,0,0,38,10,0.398,0.141,15,0,0,31,0.521,0,0.015,0.232,0.208
JP44607169,49,Salaried,13.9,23.7,Married,4,99244.76,59930.32,0,33841.47,0.341,464099.2,970055.33,36,10.37,31469.74,Credit_Card,19,15,1,15,0.99,0,0,0,0,5,0.347,0.525,-15,1,0,35,0.508,0,0,0.603,0.278
AB73272724,59,Salaried,15.3,22.2,Married,3,164036.17,110835.83,0,34002.82,0.207,115723.7,501585.21,12,13.53,44925.04,Credit_Card,33,60,2,90,0.67,1,1,0,27,20,0.288,0.405,60,0.1,0,50,0.748,0,0.029,0.422,0.327
FH88820880,44,Gig,15.3,10.2,Married,3,44179.33,22941.44,1,41013.15,0.928,17895.41,672547.33,60,19.39,17590.89,Credit_Card,11,60,4,60,0.81,0,0,1,42,20,0.446,0.767,60,0,1,15,0.987,1,0,0.597,0.725
LM73737116,44,Self_Employed,15.9,22.4,Married,1,37456.48,21683.68,1,57586.03,1.537,362009.47,537301.54,12,15.34,48582.17,Personal_Loan,2,60,0,60,0.81,1,0,0,12,20,0.352,2.24,60,0.6,0,7,0.536,0,0.333,0.324,0.893
QU75758504,31,Salaried,17.9,22.6,Single,2,72755.04,44645.19,0,25157.59,0.346,474198.48,157114.78,48,19.6,4747.64,Auto_Loan,29,60,0,60,0.98,1,1,2,25,20,0.099,0.106,60,0.17,1,47,0.905,1,0.033,0.183,0.44
AF01071638,41,Salaried,7.1,12.5,Married,2,105630.29,66587.06,0,39680.76,0.376,384606.81,255609.52,36,25.51,10232.06,Auto_Loan,57,0,1,0,0.76,2,0,1,12,0,0.285,0.154,-30,0.6,0.333,0,0.982,1,0.034,0.176,0.201
VQ00307396,28,Gig,9.2,0.9,Married,3,66541.27,46518.91,1,5859.55,0.088,74697.59,109340.22,60,16.52,2689.25,Auto_Loan,69,30,0,90,0.75,0,0,0,22,10,0.263,0.058,30,0.27,0,29,0.226,0,0,0.134,0.15
JJ43010811,30,Salaried,8.9,7.4,Single,2,153241.7,85085.11,0,6606.25,0.043,347362.47,857270.69,24,23.21,44987.53,Credit_Card,16,0,1,0,0.92,1,0,0,9,0,0.4,0.529,-30,0.7,0,0,0.613,0,0.059,0.631,0.259
VV61209106,21,Self_Employed,2.2,24.9,Single,0,137104.12,62501.66,1,17464.56,0.127,333282.87,630183.75,12,19.12,58111.68,Credit_Card,11,0,1,30,0.99,0,0,1,70,0,0.3,0.93,-30,0,1,0,0.595,0,0,0.48,0.604
